customer_id,first_name,last_name,gender,email,join_date
1,John,Taylor,F,john.taylor1@example.com,2024-06-24
2,Ishaan,Taylor,F,ishaan.taylor2@example.com,2024-09-26
3,John,Das,M,john.das3@example.com,2024-10-21
4,Aarav,Johnson,F,aarav.johnson4@example.com,2024-12-12
5,Michael,Davis,M,michael.davis5@example.com,2024-09-11
6,Michael,Brown,F,michael.brown6@example.com,2024-04-29
7,Aditya,Brown,F,aditya.brown7@example.com,2024-01-16
8,Vivaan,Das,F,vivaan.das8@example.com,2024-03-26
9,Saanvi,Brown,F,saanvi.brown9@example.com,2024-09-04
10,Ananya,Khan,F,ananya.khan10@example.com,2024-04-30
11,Riya,Roy,F,riya.roy11@example.com,2024-06-11
12,David,Nair,M,david.nair12@example.com,2024-03-09
13,Aditya,Verma,M,aditya.verma13@example.com,2024-10-07
14,Kabir,Roy,M,kabir.roy14@example.com,2024-10-16
15,Kabir,Williams,M,kabir.williams15@example.com,2024-09-11
16,Ishaan,Roy,M,ishaan.roy16@example.com,2024-04-15
17,Priya,Khan,M,priya.khan17@example.com,2024-08-11
18,Vivaan,Patel,F,vivaan.patel18@example.com,2024-03-15
19,Priya,Gupta,M,priya.gupta19@example.com,2024-03-03
20,Aarav,Nair,M,aarav.nair20@example.com,2024-10-10
21,David,Verma,M,david.verma21@example.com,2024-11-08
22,Ishaan,Brown,M,ishaan.brown22@example.com,2024-03-19
23,Michael,Nair,F,michael.nair23@example.com,2024-12-20
24,Ananya,Johnson,F,ananya.johnson24@example.com,2024-10-24
25,Saanvi,Patel,F,saanvi.patel25@example.com,2024-08-02
26,Priya,Davis,F,priya.davis26@example.com,2024-07-09
27,Kabir,Patel,M,kabir.patel27@example.com,2024-07-27
28,Ananya,Gupta,M,ananya.gupta28@example.com,2024-06-10
29,Priya,Verma,M,priya.verma29@example.com,2024-06-23
30,Priya,Roy,F,priya.roy30@example.com,2024-10-10
31,Emily,Johnson,F,emily.johnson31@example.com,2024-12-19
32,Michael,Verma,F,michael.verma32@example.com,2024-11-17
33,Ishaan,Das,F,ishaan.das33@example.com,2024-06-28
34,Diya,Singh,M,diya.singh34@example.com,2024-08-01
35,David,Gupta,M,david.gupta35@example.com,2024-01-14
36,John,Das,F,john.das36@example.com,2024-06-15
37,David,Brown,F,david.brown37@example.com,2024-02-22
38,David,Williams,F,david.williams38@example.com,2024-10-28
39,Emily,Mukherjee,M,emily.mukherjee39@example.com,2024-01-03
40,Riya,Nair,F,riya.nair40@example.com,2024-09-21
41,David,Mukherjee,F,david.mukherjee41@example.com,2024-05-26
42,Michael,Roy,M,michael.roy42@example.com,2024-03-31
43,Vivaan,Sharma,F,vivaan.sharma43@example.com,2024-03-20
44,Vivaan,Davis,F,vivaan.davis44@example.com,2024-05-31
45,Raj,Gupta,M,raj.gupta45@example.com,2024-02-02
46,Aarav,Verma,M,aarav.verma46@example.com,2024-04-28
47,John,Gupta,M,john.gupta47@example.com,2024-08-20
48,Priya,Davis,M,priya.davis48@example.com,2024-10-10
49,David,Patel,M,david.patel49@example.com,2024-04-25
50,Ishaan,Patel,F,ishaan.patel50@example.com,2024-10-27
51,Arjun,Gupta,M,arjun.gupta51@example.com,2024-06-10
52,Neha,Singh,M,neha.singh52@example.com,2024-04-03
53,Emily,Verma,M,emily.verma53@example.com,2024-09-29
54,Neha,Roy,F,neha.roy54@example.com,2024-02-10
55,Aditya,Verma,F,aditya.verma55@example.com,2024-02-16
56,Saanvi,Johnson,M,saanvi.johnson56@example.com,2024-07-29
57,Riya,Verma,F,riya.verma57@example.com,2024-03-25
58,Alice,Nair,F,alice.nair58@example.com,2024-03-01
59,Aditya,Johnson,F,aditya.johnson59@example.com,2024-12-25
60,Kabir,Singh,M,kabir.singh60@example.com,2024-11-28
61,Ananya,Nair,F,ananya.nair61@example.com,2024-08-20
62,Saanvi,Taylor,F,saanvi.taylor62@example.com,2024-04-04
63,Emily,Nair,F,emily.nair63@example.com,2024-08-25
64,Ishaan,Mukherjee,M,ishaan.mukherjee64@example.com,2024-04-06
65,Sara,Roy,M,sara.roy65@example.com,2024-11-21
66,Emily,Singh,M,emily.singh66@example.com,2024-07-25
67,Ishaan,Khan,M,ishaan.khan67@example.com,2024-01-01
68,Diya,Khan,M,diya.khan68@example.com,2024-11-19
69,Arjun,Williams,M,arjun.williams69@example.com,2024-12-30
70,Vivaan,Roy,F,vivaan.roy70@example.com,2024-02-13
71,Raj,Taylor,M,raj.taylor71@example.com,2024-08-20
72,David,Taylor,M,david.taylor72@example.com,2024-03-27
73,Neha,Brown,F,neha.brown73@example.com,2024-05-15
74,Vivaan,Williams,F,vivaan.williams74@example.com,2024-04-23
75,Emily,Verma,M,emily.verma75@example.com,2024-09-15
76,Raj,Gupta,F,raj.gupta76@example.com,2024-04-17
77,Raj,Brown,M,raj.brown77@example.com,2024-03-01
78,Michael,Gupta,F,michael.gupta78@example.com,2024-08-06
79,Priya,Khan,F,priya.khan79@example.com,2024-10-04
80,John,Taylor,F,john.taylor80@example.com,2024-03-19
81,Sara,Nair,F,sara.nair81@example.com,2024-09-26
82,Diya,Patel,M,diya.patel82@example.com,2024-11-18
83,Michael,Brown,M,michael.brown83@example.com,2024-10-20
84,Kabir,Williams,F,kabir.williams84@example.com,2024-02-11
85,Michael,Roy,M,michael.roy85@example.com,2024-04-17
86,Michael,Davis,M,michael.davis86@example.com,2024-08-16
87,Sara,Das,F,sara.das87@example.com,2024-09-16
88,John,Johnson,M,john.johnson88@example.com,2024-09-17
89,John,Taylor,F,john.taylor89@example.com,2024-01-28
90,Riya,Das,F,riya.das90@example.com,2024-12-18
91,Raj,Verma,F,raj.verma91@example.com,2024-05-17
92,Ishaan,Patel,F,ishaan.patel92@example.com,2024-06-06
93,Aarav,Davis,M,aarav.davis93@example.com,2024-01-25
94,John,Khan,F,john.khan94@example.com,2024-01-24
